"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C3,C5,C6","0.1uF","~","","4",""
"C2,C4","47uFx25V","~","","2",""
"C7","4.7uFx16V","~","","1",""
"D1,D2,D3,D4,D5,D6,D7,D8,D12,D13,D14,D15","1N4148","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","12",""
"D9,D10","1N4001","http://www.vishay.com/docs/88503/1n4001.pdf","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","2",""
"D11","GATE DELAY (YELLOW LED)","~","","1",""
"D18","EG OUT (YELLOW LED)","~","","1",""
"J1,J4,J5","GATE IN","","4ms_Jack:EighthInch_PJ398SM","3",""
"J2","INV EG OUT","","4ms_Jack:EighthInch_PJ398SM","1",""
"J3","Eurorack_Power_10pin_Unshrouded","","4ms_Connector:Pins_2x05_2.54mm_TH_Europower","1",""
"L1,L2","100uH","~","","2",""
"Q1,Q2,Q3,Q4,Q5,Q6","2N3904","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF","Package_TO_SOT_THT:TO-92_Inline","6",""
"Q7,Q8,Q9","2N3906","https://www.onsemi.com/pub/Collateral/2N3906-D.PDF","Package_TO_SOT_THT:TO-92_Inline","3",""
"R1,R2,R3","200","~","","3",""
"R4,R8,R16,R28,R33","10k","~","","5",""
"R5,R6,R10,R12,R15,R21,R24,R26,R27,R38,R39,R47,R48","100k","~","","13",""
"R7,R49","560k","~","","2",""
"R9","39k","~","","1",""
"R11,R13,R22","20k","~","","3",""
"R14,R23","5.1k","~","","2",""
"R17","2.7k","~","","1",""
"R18","15k","~","","1",""
"R19","470k","~","","1",""
"R20","150k","~","","1",""
"R25","10M","~","","1",""
"R29,R42,R50","47k","~","","3",""
"R30,R51","56k","~","","2",""
"R31","2.2k","~","","1",""
"R32","1.8k","~","","1",""
"R34"," NU","~","","1",""
"R35,R36","33k","~","","2",""
"R37,R41,R44","470","~","","3",""
"R40,R46","3.3k","~","","2",""
"R43","220k","~","","1",""
"R45","22k","~","","1",""
"RV1","1M LOG ""ATTACK""","~","","1",""
"RV2","1M LOG ""DECAY""","~","","1",""
"RV3","1M LOG ""RELEASE""","~","","1",""
"RV4","100k LOG ""SUSTAIN""","~","","1",""
"SW1,SW2","SW_SPDT","~","","2",""
"U1","TL074","http://www.ti.com/lit/ds/symlink/tl071.pdf","","1",""
