Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C5, C6",C_Disc_D3.0mm_W1.6mm_P2.50mm,4,0.1uF,
"C2, C4",CP_Radial_D5.0mm_P2.50mm,2,47uFx25V,
C7,CP_Radial_D5.0mm_P2.50mm,1,4.7uFx16V,
"D1, D12, D13, D14, D15, D2, D3, D4, D5, D6, D7, D8",D_DO-35_SOD27_P7.62mm_Horizontal_Widened_No_K,12,1N4148,
"D11, D18",LED_3mm_C1A2,2,LED,
J1,EighthInch_PJ398SM_3mmNPTH,1,GATE IN,
J2,EighthInch_PJ398SM_3mmNPTH,1,INV EG OUT,
J3,IDC-Header_2x05_P2.54mm_Vertical_Euro_Power_Striped_ThickerText,1,Eurorack_Power_10pin_Unshrouded,
J4,EighthInch_PJ398SM_3mmNPTH,1,GATE DELAY OUT,
J5,EighthInch_PJ398SM_3mmNPTH,1,EG OUT,
"Q1, Q2, Q3, Q4, Q5, Q6",TO-92L_Inline_Wider,6,2N3904,
"Q7, Q8, Q9",TO-92L_Inline_Wider,3,2N3906,
"R1, R2, R3",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal_Widened,3,200,
"R10, R12, R15, R21, R24, R26, R27, R38, R39, R47, R48, R5, R6",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal_Widened,13,100k,
"R11, R13, R22",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal_Widened,3,20k,
"R14, R23",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal_Widened,2,5.1k,
"R16, R28, R33, R4, R8",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal_Widened,5,10k,
"R17, R31",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal_Widened,2,2.7k,
R18,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal_Widened,1,15k,
R19,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal_Widened,1,470k,
R20,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal_Widened,1,150k,
R25,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal_Widened,1,1M,
"R29, R42, R50",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal_Widened,3,47k,
"R30, R51",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal_Widened,2,56k,
R32,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal_Widened,1,1.8k,
R34,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal_Widened,1,NU 39k,
"R35, R36",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal_Widened,2,33k,
"R37, R41, R44",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal_Widened,3,470,
"R40, R46",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal_Widened,2,3.3k,
R43,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal_Widened,1,220k,
R45,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal_Widened,1,22k,
"R49, R7",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal_Widened,2,560k,
R9,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal_Widened,1,39k,
"RV1, RV2, RV3",Pot_9mm_DShaft_RemovedPins4_5,3,1M A,
RV4,Pot_9mm_DShaft_RemovedPins4_5,1,100k A,
SW1,Switch_Toggle_DPDT_MS202,1,SW_DPDT_x2,
U1,DIP-14_W7.62mm_Socket,1,TL074,
