Designator,Mid X,Mid Y,Rotation,Layer
C1,54.463,-125.476,180.0,bottom
C2,54.141113,-139.868,0.0,bottom
C3,63.624,-125.476,180.0,bottom
C4,70.143113,-139.868,0.0,bottom
C5,79.99,-115.57,0.0,bottom
C6,79.99,-119.38,0.0,bottom
C7,87.48,-69.51,180.0,bottom
D1,77.978,-138.684,180.0,bottom
D11,60.07,-105.05,0.0,top
D12,53.17,-118.532,270.0,bottom
D13,53.17,-108.372,270.0,bottom
D14,87.714,-148.25,90.0,bottom
D15,77.978,-141.224,180.0,bottom
D18,60.07,-61.05,0.0,top
D2,62.314,-140.97,180.0,bottom
D3,70.485,-71.882,270.0,bottom
D4,87.968,-115.992,90.0,bottom
D5,56.98,-86.106,180.0,bottom
D6,56.472,-55.286,180.0,bottom
D7,76.37,-148.25,90.0,bottom
D8,65.616,-148.25,90.0,bottom
J1,60.07,-149.3294,270.0,top
J2,71.07,-149.3294,270.0,top
J3,61.552,-131.994,270.0,bottom
J4,60.07,-115.7706,90.0,top
J5,82.07,-149.3294,270.0,top
Q1,67.31,-106.229,90.0,bottom
Q2,70.0532,-53.7464,0.0,bottom
Q3,52.705,-65.024,90.0,bottom
Q4,52.705,-59.436,90.0,bottom
Q5,88.2396,-95.672,90.0,bottom
Q6,52.705,-76.2,90.0,bottom
Q7,64.3636,-53.7464,0.0,bottom
Q8,87.0712,-53.7464,0.0,bottom
Q9,52.705,-70.612,90.0,bottom
R1,85.598,-61.636,90.0,bottom
R10,68.834,-60.706,270.0,bottom
R11,71.1708,-60.706,90.0,bottom
R12,56.472,-52.492,180.0,bottom
R13,66.548,-60.706,90.0,bottom
R14,68.918,-118.532,270.0,bottom
R15,87.968,-127.168,90.0,bottom
R16,84.92,-137.836,270.0,bottom
R17,88.476,-61.636,270.0,bottom
R18,78.062,-53.762,0.0,bottom
R19,57.023,-80.772,0.0,bottom
R2,88.222,-77.638,90.0,bottom
R20,56.98,-88.9,180.0,bottom
R21,87.968,-105.07,270.0,bottom
R22,84.92,-115.992,90.0,bottom
R23,77.935,-136.312,180.0,bottom
R24,88.222,-87.798,270.0,bottom
R25,67.818,-71.882,90.0,bottom
R26,56.98,-83.312,180.0,bottom
R27,67.14,-83.226,0.0,bottom
R28,87.968,-137.836,270.0,bottom
R29,67.14,-80.772,0.0,bottom
R3,84.92,-105.07,90.0,bottom
R30,84.92,-83.48,270.0,bottom
R31,84.92,-93.64,270.0,bottom
R32,78.062,-95.25,0.0,bottom
R33,78.062,-92.37,180.0,bottom
R34,69.596,-112.4204,180.0,bottom
R35,56.98,-101.6,180.0,bottom
R36,56.98,-99.06,0.0,bottom
R37,71.204,-154.8384,0.0,bottom
R38,60.325,-64.389,180.0,bottom
R39,73.152,-71.882,270.0,bottom
R4,62.314,-138.43,180.0,bottom
R40,60.325,-57.658,180.0,bottom
R41,65.87,-118.532,90.0,bottom
R42,71.966,-118.532,270.0,bottom
R43,84.92,-127.168,270.0,bottom
R44,82.126,-154.8384,0.0,bottom
R45,78.062,-98.044,180.0,bottom
R46,60.0964,-104.902,180.0,bottom
R47,60.0964,-110.0582,0.0,bottom
R48,60.0964,-107.696,0.0,bottom
R49,79.332,-75.692,0.0,bottom
R5,60.155,-154.8384,0.0,bottom
R50,79.332,-73.152,180.0,bottom
R51,79.332,-70.612,180.0,bottom
R6,54.186,-148.25,90.0,bottom
R7,56.98,-91.44,180.0,bottom
R8,56.98,-93.98,0.0,bottom
R9,56.98,-96.52,0.0,bottom
RV1,78.070163,-64.341143,180.0,top
RV2,78.070163,-86.341143,180.0,top
RV3,78.070163,-130.381143,180.0,top
RV4,78.070163,-108.341143,180.0,top
SW1,60.244,-72.05,0.0,top
U1,67.765,-94.021,0.0,bottom
